Designator,Mid X,Mid Y,Rotation,Layer
C1,127.762,-71.713411,45.0,bottom
C10,142.494,-77.851,270.0,bottom
C11,152.781,-69.977,270.0,bottom
C12,143.256,-60.452,45.0,bottom
C13,136.017,-67.917,90.0,bottom
C14,153.797,-69.977,270.0,bottom
C2,127.127,-67.268411,315.0,bottom
C3,150.876,-66.774,90.0,bottom
C4,148.717,-74.676,315.0,bottom
C5,147.955,-64.897,90.0,bottom
C6,151.257,-69.596,0.0,bottom
C7,149.352,-66.548,0.0,bottom
C8,137.033,-67.945,90.0,bottom
C9,148.971,-64.897,90.0,bottom
D1,123.952,-47.752,90.0,bottom
D10,144.653,-114.427,270.0,bottom
D11,168.529,-47.752,90.0,bottom
D12,173.0375,-55.5625,270.0,bottom
D13,174.752,-76.835,270.0,bottom
D14,177.8,-92.86875,270.0,bottom
D15,172.466,-114.427,270.0,bottom
D16,187.198,-47.752,90.0,bottom
D17,196.85,-55.5625,270.0,bottom
D18,201.803,-75.946,270.0,bottom
D19,192.0875,-92.86875,270.0,bottom
D2,126.20625,-55.5625,270.0,bottom
D20,220.472,-114.427,270.0,bottom
D21,206.121,-47.752,90.0,bottom
D22,215.9,-55.5625,270.0,bottom
D23,220.853,-75.946,270.0,bottom
D24,211.1375,-92.86875,270.0,bottom
D25,224.917,-47.752,90.0,bottom
D26,234.95,-55.5625,270.0,bottom
D27,239.903,-75.946,270.0,bottom
D28,230.1875,-92.86875,270.0,bottom
D29,243.713,-47.752,90.0,bottom
D3,125.476,-80.644,90.0,bottom
D30,254.0,-55.5625,270.0,bottom
D31,258.953,-75.946,270.0,bottom
D32,249.2375,-92.86875,270.0,bottom
D33,263.271,-47.752,90.0,bottom
D34,273.05,-55.5625,270.0,bottom
D35,278.003,-75.946,270.0,bottom
D36,268.2875,-92.86875,270.0,bottom
D37,304.419,-114.554,270.0,bottom
D38,282.448,-47.752,90.0,bottom
D39,292.1,-55.5625,270.0,bottom
D4,125.603,-94.869,270.0,bottom
D40,297.053,-75.946,270.0,bottom
D41,287.3375,-92.837,270.0,bottom
D42,301.244,-47.752,90.0,bottom
D43,311.15,-55.5625,270.0,bottom
D44,316.103,-75.946,270.0,bottom
D45,306.3875,-92.837,270.0,bottom
D46,320.929,-47.752,90.0,bottom
D47,330.2,-55.5625,270.0,bottom
D48,335.153,-75.946,270.0,bottom
D49,325.4375,-92.837,270.0,bottom
D5,125.603,-114.427,270.0,bottom
D50,339.979,-47.752,90.0,bottom
D51,349.25,-55.5625,270.0,bottom
D52,354.203,-75.946,270.0,bottom
D53,344.4875,-92.837,270.0,bottom
D54,358.775,-47.752,90.0,bottom
D55,368.3,-55.5625,270.0,bottom
D56,373.0625,-75.40625,270.0,bottom
D57,363.5375,-92.86875,270.0,bottom
D58,377.698,-47.752,90.0,bottom
D59,387.35,-55.5625,270.0,bottom
D6,144.653,-47.752,90.0,bottom
D60,392.1125,-75.40625,270.0,bottom
D61,382.5875,-92.86875,270.0,bottom
D62,382.651,-114.681,270.0,bottom
D63,396.367,-47.625,90.0,bottom
D64,408.78125,-55.5625,270.0,bottom
D65,436.753,-53.847,90.0,bottom
D66,417.5125,-92.86875,270.0,bottom
D67,458.7875,-47.625,90.0,bottom
D68,400.05,-47.625,90.0,bottom
D69,433.3875,-55.5625,270.0,bottom
D7,129.921,-55.625,270.0,bottom
D70,422.021,-75.819,270.0,bottom
D71,434.975,-94.742,270.0,bottom
D72,430.276,-114.681,270.0,bottom
D73,478.028,-47.625,90.0,bottom
D74,477.8375,-55.5625,270.0,bottom
D75,478.028,-75.946,270.0,bottom
