Designator,Mid X,Mid Y,Rotation,Layer
C1,127.762,-72.644,225.0,bottom
C10,138.303,-69.469,90.0,bottom
C11,156.591,-72.39,0.0,bottom
C12,147.828,-60.706,45.0,bottom
C13,156.591,-70.739,270.0,bottom
C14,156.845,-73.66,45.0,bottom
C2,127.127,-68.199,135.0,bottom
C3,154.94,-70.612,0.0,bottom
C4,146.939,-76.962,270.0,bottom
C5,151.257,-65.151,90.0,bottom
C6,155.194,-67.691,90.0,bottom
C7,153.289,-67.437,0.0,bottom
C8,140.97,-71.501,180.0,bottom
C9,152.273,-65.151,90.0,bottom
D1,123.952,-47.752,90.0,bottom
D10,144.653,-113.919,270.0,bottom
D11,168.529,-47.752,90.0,bottom
D12,173.0375,-55.5625,270.0,bottom
D13,175.641,-75.946,270.0,bottom
D14,177.8,-92.86875,270.0,bottom
D15,173.101,-113.919,270.0,bottom
D16,187.198,-47.752,90.0,bottom
D17,196.85,-55.5625,270.0,bottom
D18,201.803,-75.946,270.0,bottom
D19,192.0875,-92.86875,270.0,bottom
D2,126.20625,-55.5625,270.0,bottom
D20,204.597,-113.919,270.0,bottom
D21,206.121,-47.752,90.0,bottom
D22,215.9,-55.5625,270.0,bottom
D23,220.853,-75.946,270.0,bottom
D24,211.1375,-92.86875,270.0,bottom
D25,224.917,-47.752,90.0,bottom
D26,234.95,-55.5625,270.0,bottom
D27,239.903,-75.946,270.0,bottom
D28,230.1875,-92.86875,270.0,bottom
D29,243.713,-47.752,90.0,bottom
D3,125.476,-77.343,270.0,bottom
D30,254.0,-55.5625,270.0,bottom
D31,258.953,-75.946,270.0,bottom
D32,249.2375,-92.86875,270.0,bottom
D33,263.271,-47.752,90.0,bottom
D34,273.05,-55.5625,270.0,bottom
D35,278.003,-75.946,270.0,bottom
D36,268.2875,-92.86875,270.0,bottom
D37,304.419,-113.919,270.0,bottom
D38,282.448,-47.752,90.0,bottom
D39,292.1,-55.5625,270.0,bottom
D4,125.603,-94.869,270.0,bottom
D40,297.053,-76.835,270.0,bottom
D41,287.3375,-92.86875,270.0,bottom
D42,301.244,-47.752,90.0,bottom
D43,311.15,-55.5625,270.0,bottom
D44,316.103,-75.946,270.0,bottom
D45,306.3875,-92.86875,270.0,bottom
D46,320.929,-47.752,90.0,bottom
D47,330.2,-55.5625,270.0,bottom
D48,335.153,-75.946,270.0,bottom
D49,325.4375,-92.86875,270.0,bottom
D5,125.73,-113.919,270.0,bottom
D50,339.979,-47.752,90.0,bottom
D51,349.25,-55.5625,270.0,bottom
D52,354.203,-75.946,270.0,bottom
D53,344.4875,-92.86875,270.0,bottom
D54,358.775,-47.752,90.0,bottom
D55,368.3,-55.5625,270.0,bottom
D56,373.0625,-75.40625,270.0,bottom
D57,363.5375,-92.86875,270.0,bottom
D58,377.698,-47.752,90.0,bottom
D59,387.35,-55.5625,270.0,bottom
D6,144.653,-47.752,90.0,bottom
D60,392.1125,-75.40625,270.0,bottom
D61,382.5875,-92.86875,270.0,bottom
D62,382.651,-113.919,270.0,bottom
D63,396.367,-47.625,90.0,bottom
D64,408.78125,-55.5625,270.0,bottom
D65,420.6875,-50.8,90.0,bottom
D66,417.5125,-92.86875,270.0,bottom
D67,406.4,-18.31875,90.0,bottom
D68,400.05,-47.625,90.0,bottom
D69,433.3875,-55.5625,270.0,bottom
D7,145.25625,-55.5625,270.0,bottom
D70,398.4625,-75.40625,270.0,bottom
D71,458.851,-94.742,270.0,bottom
D72,430.276,-113.919,270.0,bottom
D73,478.028,-47.625,90.0,bottom
D74,477.8375,-55.5625,270.0,bottom
D75,478.028,-75.946,270.0,bottom
D76,477.901,-94.742,270.0,bottom
D77,440.309,-113.919,270.0,bottom
D78,497.332,-47.625,90.0,bottom
D79,496.09375,-54.76875,270.0,bottom
D8,143.891,-77.343,270.0,bottom
D80,497.078,-75.946,270.0,bottom
D81,495.935,-94.615,270.0,bottom
D82,477.901,-113.919,270.0,bottom
D83,500.507,-47.625,90.0,bottom
D84,506.4125,-53.18125,0.0,bottom
D85,496.824,-72.009,0.0,bottom
D86,501.777,-92.456,0.0,bottom
D87,496.951,-113.919,270.0,bottom
D88,436.626,-96.647,90.0,bottom
D89,496.951,-108.204,270.0,bottom
D9,144.653,-94.869,270.0,bottom
D90,405.697,-173.6911,0.0,top
D91,405.697,-177.0411,0.0,top
F2,297.942,-67.31,0.0,bottom
J2,112.268,-66.358,180.0,bottom
J3,311.277,-68.58,0.0,bottom
R1,128.651,-69.723,315.0,bottom
R4,159.512,-69.977,180.0,bottom
R5,159.512,-68.072,180.0,bottom
R6,136.652,-68.199,90.0,bottom
R7,144.907,-89.154,180.0,bottom
SW1,141.859,-87.63,270.0,bottom
SW10,136.525,-100.0125,0.0,top
SW11,136.525,-119.0625,0.0,top
SW12,160.3375,-42.8625,0.0,top
SW13,165.1,-61.9125,0.0,top
SW14,162.71875,-80.9625,0.0,top
SW15,172.24375,-100.0125,0.0,top
SW16,165.1,-119.0625,0.0,top
SW17,179.3875,-42.8625,0.0,top
SW18,188.9125,-61.9125,0.0,top
